2013-10-29 15:55:49 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:55:56 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:55:56 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:55:56 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:56:02 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:56:02 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:56:02 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:56:08 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:56:08 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:56:08 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:56:14 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:56:14 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:56:14 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:56:15  INFO | instances: 0000 (0000 extant + 0000 pending + 0000 terminated)
2013-10-29 15:56:15  INFO |     nodes: 0001 (0000 busy + 0000 idle + 0001 unresponsive)
2013-10-29 15:56:20 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:56:20 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:56:20 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:56:26 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:56:26 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:56:26 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:56:32 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:56:32 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:56:32 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:56:38 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:56:38 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:56:38 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:56:44 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:56:44 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:56:44 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:56:50 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:56:50 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:56:50 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:56:56 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:56:56 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:56:56 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:57:02 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:57:02 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:57:02 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:57:08 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:57:08 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:57:08 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:57:14 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:57:14 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:57:14 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:57:16  INFO | instances: 0000 (0000 extant + 0000 pending + 0000 terminated)
2013-10-29 15:57:16  INFO |     nodes: 0001 (0000 busy + 0000 idle + 0001 unresponsive)
2013-10-29 15:57:20 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:57:20 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:57:20 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:57:20  INFO | stat() problem with //etc/eucalyptus/faults/en_US/: No such file or directory
2013-10-29 15:57:27 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:57:27 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:57:27 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:57:33 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:57:33 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:57:33 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:57:39 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:57:39 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:57:39 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:57:45 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:57:45 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:57:45 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:57:51 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
